"Time","Sound pressure level"
1.196636680E2,-4.882648129E1
1.197693940E2,-4.901670384E1
1.198803390E2,-4.846447608E1
1.199886740E2,-4.843827509E1
1.200972880E2,-4.138514539E1
1.202075690E2,-4.419716165E1
1.203140900E2,-4.153238798E1
1.204271510E2,-4.247804282E1
1.205307380E2,-4.228420794E1
1.206436009E2,-4.720184491E1
1.207512510E2,-4.789967130E1
1.208605720E2,-4.812405947E1
1.209666780E2,-4.772587732E1
1.210794660E2,-4.753093006E1
1.211955510E2,-4.851300148E1
1.213001130E2,-4.867500467E1
1.214104630E2,-4.933109202E1
1.215167310E2,-4.866501345E1
1.216288919E2,-4.785237586E1
1.217334189E2,-4.548950012E1
1.218461970E2,-4.351588025E1
1.219517460E2,-4.660198201E1
1.220649060E2,-4.216541898E1
1.221775910E2,-4.339002143E1
1.222815440E2,-4.724787629E1
1.223935601E2,-4.221761501E1
1.225020150E2,-4.765599198E1
1.226147749E2,-4.823680093E1
1.227186950E2,-4.124222149E1
1.228318620E2,-4.501859777E1
1.229353780E2,-4.701959639E1
1.230481490E2,-4.767221706E1
1.231523460E2,-4.705555547E1
1.232574641E2,-4.868291180E1
1.233688270E2,-4.783054874E1
1.234765429E2,-4.844800295E1
1.235853050E2,-4.870264314E1
1.236979810E2,-4.865174418E1
1.238084310E2,-4.839303271E1
1.239187011E2,-4.902424572E1
1.240247620E2,-4.871924804E1
1.241352921E2,-4.897737286E1
1.242480770E2,-4.924868003E1
1.243638120E2,-4.893641015E1
1.244686170E2,-4.924953750E1
1.245728410E2,-5.012748103E1
1.246852880E2,-4.932000324E1
1.247982680E2,-4.850836469E1
1.249142330E2,-4.780799359E1
1.250187110E2,-4.209557344E1
1.251315420E2,-4.358757213E1
1.252476130E2,-4.543008949E1
1.253533310E2,-4.694566128E1
1.254665010E2,-4.859360916E1
1.255794570E2,-4.905560688E1
1.256854110E2,-4.920770065E1
1.257983850E2,-4.795439569E1
1.259146720E2,-4.785060461E1
1.260276610E2,-4.882971862E1
